maxerror,ngram,minweight,r,ndtw,sdiff,enew
2,health,0.0000000000001,0,365226,0.90000,0.05000
2,health,0.0000000000001,5,365226,0.80000,0.10000
2,health,0.0000000000001,10,365226,0.80000,0.10000
2,health,0.0000000000001,15,365226,0.80000,0.10000
2,health,0.0000000000001,20,365226,0.80000,0.10000
2,health,0.000000000001,0,349199,0.90000,0.05000
2,health,0.000000000001,5,349199,0.70000,0.15000
2,health,0.000000000001,10,349199,0.70000,0.15000
2,health,0.000000000001,15,349199,0.70000,0.15000
2,health,0.000000000001,20,349199,0.70000,0.15000
2,health,0.00000000001,0,337785,0.80000,0.10000
2,health,0.00000000001,5,337785,0.60000,0.20000
2,health,0.00000000001,10,337785,0.60000,0.20000
2,health,0.00000000001,15,337785,0.60000,0.20000
2,health,0.00000000001,20,337785,0.60000,0.20000
2,health,0.0000000001,0,329501,0.70000,0.15000
2,health,0.0000000001,5,329501,0.60000,0.20000
2,health,0.0000000001,10,329501,0.60000,0.20000
2,health,0.0000000001,15,329501,0.60000,0.20000
2,health,0.0000000001,20,329501,0.60000,0.20000
2,health,0.000000001,0,320350,0.60000,0.20000
2,health,0.000000001,5,320350,0.60000,0.20000
2,health,0.000000001,10,320350,0.60000,0.20000
2,health,0.000000001,15,320350,0.55000,0.25000
2,health,0.000000001,20,320350,0.55000,0.25000
2,health,0.00000001,0,211701,0.40000,0.30000
2,health,0.00000001,5,211701,0.30000,0.35000
2,health,0.00000001,10,211701,0.40000,0.30000
2,health,0.00000001,15,211701,0.35000,0.35000
2,health,0.00000001,20,211701,0.35000,0.35000
2,health,0.0000001,0,171967,0.30000,0.35000
2,health,0.0000001,5,171967,0.20000,0.40000
2,health,0.0000001,10,171967,0.25000,0.40000
2,health,0.0000001,15,171967,0.25000,0.40000
2,health,0.0000001,20,171967,0.25000,0.40000
2,health,0.000001,0,131987,0.10000,0.60000
2,health,0.000001,5,131987,0.05000,0.55000
2,health,0.000001,10,131987,0.05000,0.55000
2,health,0.000001,15,131987,0.05000,0.55000
2,health,0.000001,20,131987,0.05000,0.55000
2,know,0.0000000000001,0,217597,0.70000,0.15000
2,know,0.0000000000001,5,217597,0.75000,0.15000
2,know,0.0000000000001,10,217597,0.75000,0.15000
2,know,0.0000000000001,15,217597,0.75000,0.15000
2,know,0.0000000000001,20,217597,0.75000,0.15000
2,know,0.000000000001,0,204935,0.60000,0.20000
2,know,0.000000000001,5,204935,0.65000,0.20000
2,know,0.000000000001,10,204935,0.65000,0.20000
2,know,0.000000000001,15,204935,0.65000,0.20000
2,know,0.000000000001,20,204935,0.65000,0.20000
2,know,0.00000000001,0,265365,0.60000,0.20000
2,know,0.00000000001,5,265365,0.65000,0.20000
2,know,0.00000000001,10,265365,0.65000,0.20000
2,know,0.00000000001,15,265365,0.65000,0.20000
2,know,0.00000000001,20,265365,0.65000,0.20000
2,know,0.0000000001,0,254924,0.60000,0.20000
2,know,0.0000000001,5,254924,0.65000,0.20000
2,know,0.0000000001,10,254924,0.65000,0.20000
2,know,0.0000000001,15,254924,0.65000,0.20000
2,know,0.0000000001,20,254924,0.65000,0.20000
2,know,0.000000001,0,244986,0.90000,0.05000
2,know,0.000000001,5,244986,0.90000,0.05000
2,know,0.000000001,10,244986,0.90000,0.05000
2,know,0.000000001,15,244986,0.90000,0.05000
2,know,0.000000001,20,244986,0.90000,0.05000
2,know,0.00000001,0,183284,0.70000,0.15000
2,know,0.00000001,5,183284,0.85000,0.10000
2,know,0.00000001,10,183284,0.85000,0.10000
2,know,0.00000001,15,183284,0.85000,0.10000
2,know,0.00000001,20,183284,0.85000,0.10000
2,know,0.0000001,0,163108,0.60000,0.20000
2,know,0.0000001,5,163108,0.85000,0.10000
2,know,0.0000001,10,163108,0.85000,0.10000
2,know,0.0000001,15,163108,0.85000,0.10000
2,know,0.0000001,20,163108,0.85000,0.10000
2,know,0.000001,0,124288,0.50000,0.30000
2,know,0.000001,5,124288,0.70000,0.20000
2,know,0.000001,10,124288,0.70000,0.20000
2,know,0.000001,15,124288,0.70000,0.20000
2,know,0.000001,20,124288,0.70000,0.20000
2,money,0.0000000000001,0,466297,0.70000,0.15000
2,money,0.0000000000001,5,466297,0.90000,0.05000
2,money,0.0000000000001,10,466297,0.80000,0.10000
2,money,0.0000000000001,15,466297,0.90000,0.05000
2,money,0.0000000000001,20,466297,0.90000,0.05000
2,money,0.000000000001,0,442582,0.80000,0.10000
2,money,0.000000000001,5,442582,0.90000,0.05000
2,money,0.000000000001,10,442582,0.80000,0.10000
2,money,0.000000000001,15,442582,0.90000,0.05000
2,money,0.000000000001,20,442582,0.90000,0.05000
2,money,0.00000000001,0,486595,0.70000,0.15000
2,money,0.00000000001,5,486595,0.90000,0.05000
2,money,0.00000000001,10,486595,0.80000,0.10000
2,money,0.00000000001,15,486595,0.90000,0.05000
2,money,0.00000000001,20,486595,0.90000,0.05000
2,money,0.0000000001,0,471079,0.70000,0.15000
2,money,0.0000000001,5,471079,0.90000,0.05000
2,money,0.0000000001,10,471079,0.80000,0.10000
2,money,0.0000000001,15,471079,0.90000,0.05000
2,money,0.0000000001,20,471079,0.90000,0.05000
2,money,0.000000001,0,470618,0.70000,0.15000
2,money,0.000000001,5,470618,0.80000,0.10000
2,money,0.000000001,10,470618,0.80000,0.10000
2,money,0.000000001,15,470618,0.80000,0.10000
2,money,0.000000001,20,470618,0.80000,0.10000
2,money,0.00000001,0,351483,0.50000,0.25000
2,money,0.00000001,5,351483,0.70000,0.15000
2,money,0.00000001,10,351483,0.70000,0.15000
2,money,0.00000001,15,351483,0.80000,0.10000
2,money,0.00000001,20,351483,0.80000,0.10000
2,money,0.0000001,0,266141,0.40000,0.30000
2,money,0.0000001,5,266141,0.30000,0.35000
2,money,0.0000001,10,266141,0.30000,0.35000
2,money,0.0000001,15,266141,0.50000,0.30000
2,money,0.0000001,20,266141,0.50000,0.30000
2,money,0.000001,0,187712,0.15000,0.45000
2,money,0.000001,5,187712,0.15000,0.60000
2,money,0.000001,10,187712,0.15000,0.50000
2,money,0.000001,15,187712,0.15000,0.50000
2,money,0.000001,20,187712,0.15000,0.50000
2,religion,0.0000000000001,0,284108,0.60000,0.20000
2,religion,0.0000000000001,5,284108,0.70000,0.15000
2,religion,0.0000000000001,10,284108,0.70000,0.15000
2,religion,0.0000000000001,15,284108,0.70000,0.15000
2,religion,0.0000000000001,20,284108,0.70000,0.15000
2,religion,0.000000000001,0,308391,0.50000,0.25000
2,religion,0.000000000001,5,308391,0.70000,0.15000
2,religion,0.000000000001,10,308391,0.80000,0.10000
2,religion,0.000000000001,15,308391,0.80000,0.10000
2,religion,0.000000000001,20,308391,0.80000,0.10000
2,religion,0.00000000001,0,290832,0.50000,0.25000
2,religion,0.00000000001,5,290832,0.55000,0.25000
2,religion,0.00000000001,10,290832,0.60000,0.20000
2,religion,0.00000000001,15,290832,0.60000,0.20000
2,religion,0.00000000001,20,290832,0.60000,0.20000
2,religion,0.0000000001,0,260534,0.80000,0.10000
2,religion,0.0000000001,5,260534,0.80000,0.10000
2,religion,0.0000000001,10,260534,0.95000,0.05000
2,religion,0.0000000001,15,260534,0.95000,0.05000
2,religion,0.0000000001,20,260534,0.95000,0.05000
2,religion,0.000000001,0,233664,0.60000,0.25000
2,religion,0.000000001,5,233664,0.60000,0.20000
2,religion,0.000000001,10,233664,0.65000,0.20000
2,religion,0.000000001,15,233664,0.65000,0.20000
2,religion,0.000000001,20,233664,0.65000,0.20000
2,religion,0.00000001,0,184757,0.40000,0.35000
2,religion,0.00000001,5,184757,0.65000,0.20000
2,religion,0.00000001,10,184757,0.50000,0.25000
2,religion,0.00000001,15,184757,0.50000,0.25000
2,religion,0.00000001,20,184757,0.50000,0.25000
2,religion,0.0000001,0,165959,0.40000,0.35000
2,religion,0.0000001,5,165959,0.35000,0.35000
2,religion,0.0000001,10,165959,0.20000,0.40000
2,religion,0.0000001,15,165959,0.20000,0.40000
2,religion,0.0000001,20,165959,0.20000,0.40000
2,religion,0.000001,0,122672,0.05000,0.50000
2,religion,0.000001,5,122672,0.05000,0.70000
2,religion,0.000001,10,122672,0.05000,0.75000
2,religion,0.000001,15,122672,0.05000,0.75000
2,religion,0.000001,20,122672,0.05000,0.75000
2,soft,0.0000000000001,0,210110,1.00000,0.00000
2,soft,0.0000000000001,5,210110,0.80000,0.10000
2,soft,0.0000000000001,10,210110,0.90000,0.05000
2,soft,0.0000000000001,15,210110,0.90000,0.05000
2,soft,0.0000000000001,20,210110,0.90000,0.05000
2,soft,0.000000000001,0,197809,1.00000,0.00000
2,soft,0.000000000001,5,197809,0.90000,0.05000
2,soft,0.000000000001,10,197809,0.90000,0.05000
2,soft,0.000000000001,15,197809,0.90000,0.05000
2,soft,0.000000000001,20,197809,0.90000,0.05000
2,soft,0.00000000001,0,258261,1.00000,0.00000
2,soft,0.00000000001,5,258261,0.90000,0.05000
2,soft,0.00000000001,10,258261,0.90000,0.05000
2,soft,0.00000000001,15,258261,0.90000,0.05000
2,soft,0.00000000001,20,258261,0.90000,0.05000
2,soft,0.0000000001,0,248099,1.00000,0.00000
2,soft,0.0000000001,5,248099,1.00000,0.00000
2,soft,0.0000000001,10,248099,1.00000,0.00000
2,soft,0.0000000001,15,248099,1.00000,0.00000
2,soft,0.0000000001,20,248099,1.00000,0.00000
2,soft,0.000000001,0,238528,1.00000,0.00000
2,soft,0.000000001,5,238528,0.95000,0.05000
2,soft,0.000000001,10,238528,1.00000,0.00000
2,soft,0.000000001,15,238528,1.00000,0.00000
2,soft,0.000000001,20,238528,1.00000,0.00000
2,soft,0.00000001,0,176270,0.90000,0.05000
2,soft,0.00000001,5,176270,0.85000,0.10000
2,soft,0.00000001,10,176270,0.90000,0.05000
2,soft,0.00000001,15,176270,0.90000,0.05000
2,soft,0.00000001,20,176270,0.90000,0.05000
2,soft,0.0000001,0,155611,0.80000,0.10000
2,soft,0.0000001,5,155611,0.75000,0.15000
2,soft,0.0000001,10,155611,0.80000,0.10000
2,soft,0.0000001,15,155611,0.80000,0.10000
2,soft,0.0000001,20,155611,0.80000,0.10000
2,soft,0.000001,0,117286,0.05000,0.60000
2,soft,0.000001,5,117286,0.10000,0.75000
2,soft,0.000001,10,117286,0.10000,0.75000
2,soft,0.000001,15,117286,0.10000,0.75000
2,soft,0.000001,20,117286,0.10000,0.75000
2,war,0.0000000000001,0,400196,0.60000,0.20000
2,war,0.0000000000001,5,400196,0.60000,0.25000
2,war,0.0000000000001,10,400196,0.55000,0.25000
2,war,0.0000000000001,15,400196,0.50000,0.25000
2,war,0.0000000000001,20,400196,0.50000,0.25000
2,war,0.000000000001,0,370426,0.50000,0.25000
2,war,0.000000000001,5,370426,0.45000,0.35000
2,war,0.000000000001,10,370426,0.40000,0.35000
2,war,0.000000000001,15,370426,0.60000,0.20000
2,war,0.000000000001,20,370426,0.60000,0.25000
2,war,0.00000000001,0,344027,0.60000,0.20000
2,war,0.00000000001,5,344027,0.40000,0.30000
2,war,0.00000000001,10,344027,0.50000,0.25000
2,war,0.00000000001,15,344027,0.70000,0.15000
2,war,0.00000000001,20,344027,0.65000,0.20000
2,war,0.0000000001,0,309165,0.30000,0.35000
2,war,0.0000000001,5,309165,0.35000,0.45000
2,war,0.0000000001,10,309165,0.40000,0.35000
2,war,0.0000000001,15,309165,0.50000,0.25000
2,war,0.0000000001,20,309165,0.50000,0.30000
2,war,0.000000001,0,276867,0.50000,0.25000
2,war,0.000000001,5,276867,0.45000,0.35000
2,war,0.000000001,10,276867,0.45000,0.30000
2,war,0.000000001,15,276867,0.50000,0.30000
2,war,0.000000001,20,276867,0.50000,0.30000
2,war,0.00000001,0,194683,0.50000,0.25000
2,war,0.00000001,5,194683,0.60000,0.30000
2,war,0.00000001,10,194683,0.65000,0.20000
2,war,0.00000001,15,194683,0.65000,0.20000
2,war,0.00000001,20,194683,0.65000,0.20000
2,war,0.0000001,0,159453,0.60000,0.20000
2,war,0.0000001,5,159453,0.50000,0.30000
2,war,0.0000001,10,159453,0.45000,0.30000
2,war,0.0000001,15,159453,0.50000,0.25000
2,war,0.0000001,20,159453,0.50000,0.25000
2,war,0.000001,0,115074,0.40000,0.30000
2,war,0.000001,5,115074,0.25000,0.50000
2,war,0.000001,10,115074,0.20000,0.45000
2,war,0.000001,15,115074,0.20000,0.40000
2,war,0.000001,20,115074,0.20000,0.45000
