"n","nnodes","pnodes","rates","delta"
155200,1401362,0.0354094,0.0734431,6839.5
156000,1408514,0.0354076,0.07344,6913.0
156800,1415188,0.0353939,0.0734161,6839.0
157600,1422192,0.0353885,0.0734067,6897.0
158400,1428982,0.0353778,0.0733881,6614.5
159200,1435421,0.0353587,0.0733547,6672.0
160000,1442326,0.0353511,0.0733416,6730.5
160800,1448882,0.0353351,0.0733137,6780.0
161600,1455886,0.0353302,0.073305,6990.0
162400,1462862,0.0353246,0.0732953,6934.0
163200,1469754,0.035317,0.0732821,7072.5
164000,1477007,0.0353182,0.0732842,7077.0
164800,1483908,0.035311,0.0732716,7055.5
165600,1491118,0.0353111,0.0732718,7077.5
166400,1498063,0.035305,0.0732612,6904.5
167200,1504927,0.0352971,0.0732474,6771.0
168000,1511605,0.0352849,0.0732261,6693.5
168800,1518314,0.0352735,0.0732063,6728.5
169600,1525062,0.0352632,0.0731883,6812.5
170400,1531939,0.0352559,0.0731756,6765.5
171200,1538593,0.0352436,0.0731541,6669.5
172000,1545278,0.0352321,0.073134,6747.5
172800,1552088,0.0352235,0.0731191,6691.0
173600,1558660,0.0352096,0.0730949,6629.0
174400,1565346,0.0351985,0.0730754,6628.0
175200,1571916,0.0351848,0.0730516,6777.5
176000,1578901,0.0351805,0.0730441,6868.0
176800,1585652,0.0351711,0.0730277,6786.0
177600,1592473,0.0351632,0.0730141,6758.5
178400,1599169,0.0351528,0.0729958,6690.5
179200,1605854,0.0351421,0.0729772,6774.5
180000,1612718,0.0351355,0.0729656,6867.5
180800,1619589,0.035129,0.0729544,6891.0
181600,1626500,0.0351235,0.0729448,6880.0
182400,1633349,0.0351167,0.072933,6815.5
183200,1640131,0.0351085,0.0729187,6692.0
184000,1646733,0.0350966,0.0728979,6689.0
184800,1653509,0.0350885,0.0728837,6750.0
185600,1660233,0.0350793,0.0728677,6582.0
186400,1666673,0.0350642,0.0728415,6505.0
187200,1673243,0.035052,0.0728202,6665.0
188000,1680003,0.0350439,0.072806,6646.0
188800,1686535,0.0350311,0.0727836,6692.5
189600,1693388,0.035025,0.072773,6730.5
190400,1699996,0.0350139,0.0727538,6660.5
191200,1706709,0.0350051,0.0727384,6699.5
192000,1713395,0.0349958,0.0727222,6555.0
192800,1719819,0.0349813,0.0726968,6453.0
193600,1726301,0.034968,0.0726737,6595.5
194400,1733010,0.0349595,0.0726588,6639.0
195200,1739579,0.0349481,0.0726391,6646.5
196000,1746303,0.03494,0.072625,6581.5
196800,1752742,0.0349263,0.072601,6565.0
197600,1759433,0.0349177,0.072586,6687.0
198400,1766116,0.034909,0.0725709,6617.5
199200,1772668,0.0348978,0.0725513,6463.5
200000,1779043,0.0348832,0.0725259,6392.5
200800,1785453,0.0348694,0.0725018,6620.0
201600,1792283,0.0348639,0.0724922,6734.5
202400,1798922,0.0348547,0.0724763,6605.5
203200,1805494,0.0348443,0.0724581,6403.0
204000,1811728,0.0348275,0.0724288,6330.0
204800,1818154,0.0348145,0.0724062,6480.5
205600,1824689,0.0348037,0.0723873,6437.5
206400,1831029,0.0347893,0.0723622,6512.0
207200,1837713,0.0347815,0.0723485,6695.5
208000,1844420,0.0347741,0.0723358,6722.5
208800,1851158,0.0347674,0.0723241,6687.5
209600,1857795,0.0347589,0.0723093,6491.5
210400,1864141,0.034745,0.0722851,6429.5
211200,1870654,0.0347344,0.0722664,6549.5
212000,1877240,0.0347251,0.0722503,6658.5
212800,1883971,0.0347186,0.072239,6620.5
213600,1890481,0.0347081,0.0722207,6540.5
214400,1897052,0.0346988,0.0722044,6503.0
215200,1903487,0.0346871,0.072184,6497.5
216000,1910047,0.0346777,0.0721676,6539.5
216800,1916566,0.0346676,0.0721501,6391.5
217600,1922830,0.0346531,0.0721248,6376.5
218400,1929319,0.0346427,0.0721066,6355.0
219200,1935540,0.0346275,0.0720802,6345.0
220000,1942009,0.0346169,0.0720617,6447.5
220800,1948435,0.0346056,0.072042,6401.5
221600,1954812,0.0345935,0.072021,6460.5
222400,1961356,0.0345845,0.0720052,6379.5
223200,1967571,0.0345697,0.0719795,6371.5
224000,1974099,0.0345606,0.0719635,6571.5
224800,1980714,0.034553,0.0719502,6622.0
225600,1987343,0.0345457,0.0719375,6594.0
226400,1993902,0.0345372,0.0719228,6549.5
227200,2000442,0.0345285,0.0719076,6396.0
227986,2006694,0.034517,0.0718875,6260.5
228786,2012963,0.0345037,0.0718644,6517.0
229586,2019728,0.0344991,0.0718563,6713.5
230386,2026390,0.0344927,0.0718451,6538.5
231186,2032805,0.0344821,0.0718267,6391.0
231986,2039172,0.0344708,0.0718071,6579.0
232786,2045963,0.0344668,0.0718,6755.5
233586,2052683,0.0344616,0.0717909,6580.0
234386,2059123,0.0344517,0.0717737,6360.5
235186,2065404,0.0344392,0.071752,6393.0
235986,2071909,0.0344306,0.0717369,6430.0
236786,2078264,0.0344195,0.0717176,6330.0
237586,2084569,0.0344077,0.071697,6294.5
238386,2090853,0.0343956,0.0716759,6365.0
239186,2097299,0.0343862,0.0716596,6468.5
239986,2103790,0.0343777,0.0716446,6466.0
240786,2110231,0.0343683,0.0716284,6503.0
241586,2116796,0.0343611,0.0716158,6624.0
242386,2123479,0.0343558,0.0716066,6580.5
243186,2129957,0.0343473,0.0715917,6487.5
243986,2136454,0.0343391,0.0715774,6478.0
244786,2142913,0.0343303,0.0715621,6381.5
245586,2149217,0.0343191,0.0715427,6404.0
246386,2155721,0.0343112,0.0715289,6567.0
247186,2162351,0.0343054,0.0715186,6614.0
247986,2168949,0.034299,0.0715076,6387.0
248786,2175125,0.0342861,0.071485,6364.5
249586,2181678,0.0342792,0.071473,6455.5
250386,2188036,0.0342692,0.0714556,6464.5
251186,2194607,0.0342627,0.0714442,6426.5
251986,2200889,0.0342517,0.071425,6276.5
252786,2207160,0.0342405,0.0714056,6392.0
253586,2213673,0.0342332,0.0713929,6555.0
254386,2220270,0.0342273,0.0713825,6529.0
255186,2226731,0.0342193,0.0713686,6387.5
255986,2233045,0.0342091,0.0713507,6478.0
256786,2239687,0.0342039,0.0713418,6448.0
257586,2245941,0.0341929,0.0713226,6363.5
258386,2252414,0.0341853,0.0713093,6406.5
259186,2258754,0.0341757,0.0712926,6283.5
259986,2264981,0.0341644,0.071273,6336.5
260786,2271427,0.0341566,0.0712593,6331.5
261586,2277644,0.0341453,0.0712396,6322.0
262386,2284071,0.0341373,0.0712256,6373.0
263186,2290390,0.0341277,0.0712089,6504.5
263986,2297080,0.0341236,0.0712018,6537.0
264786,2303464,0.0341151,0.0711869,6624.0
265586,2310328,0.0341137,0.0711845,6717.5
266386,2316899,0.0341079,0.0711745,6704.0
267186,2323736,0.0341062,0.0711714,6652.5
267986,2330204,0.034099,0.0711589,6513.5
268786,2336763,0.0340932,0.0711488,6540.5
269586,2343285,0.0340869,0.0711378,6476.5
270386,2349716,0.0340793,0.0711246,6474.0
271186,2356233,0.034073,0.0711136,6497.5
271986,2362711,0.0340662,0.0711018,6564.0
272786,2369361,0.0340619,0.0710942,6591.5
273586,2375894,0.034056,0.0710839,6466.5
274386,2382294,0.0340481,0.0710702,6517.5
275186,2388929,0.0340437,0.0710625,6585.5
275986,2395465,0.0340379,0.0710524,6606.5
276786,2402142,0.0340341,0.0710458,6641.5
277586,2408748,0.0340293,0.0710375,6697.0
278386,2415536,0.0340272,0.0710337,6526.5
279186,2421801,0.0340177,0.0710171,6518.5
279986,2428573,0.0340153,0.071013,6697.0
280786,2435195,0.0340109,0.0710053,6557.5
281586,2441688,0.0340047,0.0709945,6387.0
282386,2447969,0.0339956,0.0709786,6344.0
283186,2454376,0.0339883,0.0709659,6410.5
283986,2460790,0.0339811,0.0709534,6489.5
284786,2467355,0.033976,0.0709446,6623.0
285586,2474036,0.0339726,0.0709386,6651.0
286386,2480657,0.0339684,0.0709312,6456.0
287186,2486948,0.0339597,0.070916,6400.0
287986,2493457,0.033954,0.0709061,6532.0
288786,2500012,0.0339489,0.0708973,6506.5
289586,2506470,0.0339426,0.0708862,6389.5
290386,2512791,0.0339344,0.070872,6434.0
291186,2519338,0.0339294,0.0708632,6674.5
291986,2526140,0.0339278,0.0708604,6737.5
292786,2532813,0.0339244,0.0708546,6549.0
293586,2539238,0.0339178,0.0708431,6370.0
294386,2545553,0.0339098,0.070829,6355.5
295186,2551949,0.0339028,0.070817,6468.5
295986,2558490,0.0338979,0.0708083,6530.0
296786,2565009,0.0338926,0.0707992,6474.0
297586,2571438,0.0338862,0.070788,6477.0
298386,2577963,0.0338811,0.0707791,6583.0
299186,2584604,0.0338776,0.070773,6603.0
299986,2591169,0.0338731,0.0707651,6544.5
300786,2597693,0.033868,0.0707563,6555.0
301586,2604279,0.0338638,0.070749,6479.5
302386,2610652,0.0338569,0.0707369,6444.0
303186,2617167,0.0338518,0.070728,6527.5
303986,2623707,0.0338471,0.0707198,6438.5
304786,2630044,0.0338398,0.0707071,6346.5
305586,2636400,0.0338328,0.0706948,6386.0
306386,2642816,0.0338266,0.070684,6409.0
307186,2649218,0.0338202,0.0706729,6513.5
307986,2655843,0.0338167,0.0706668,6623.0
308786,2662464,0.0338132,0.0706607,6602.5
309586,2669048,0.0338092,0.0706537,6457.0
310386,2675378,0.033802,0.0706412,6309.5
311186,2681667,0.0337944,0.0706279,6212.0
311986,2687802,0.0337848,0.0706113,6179.0
312786,2694025,0.0337765,0.0705967,6272.5
313586,2700347,0.0337694,0.0705843,6306.0
314386,2706637,0.0337619,0.0705712,6447.5
315186,2713242,0.0337584,0.0705651,6484.5
315986,2719606,0.0337519,0.0705538,6238.0
316786,2725718,0.0337423,0.0705371,6274.0
317586,2732154,0.0337368,0.0705275,6244.0
318386,2738206,0.0337266,0.0705097,6292.0
319186,2744738,0.0337223,0.0705022,6484.5
319986,2751175,0.0337169,0.0704928,6414.0
320786,2757566,0.0337109,0.0704824,6280.5
321586,2763736,0.0337023,0.0704673,6286.0
322386,2770138,0.0336965,0.0704573,6381.5
323186,2776499,0.0336903,0.0704465,6331.0
323986,2782800,0.0336834,0.0704344,6311.0
324786,2789121,0.0336767,0.0704228,6351.5
325586,2795503,0.0336708,0.0704126,6486.5
326386,2802094,0.0336675,0.0704067,6518.5
327186,2808540,0.0336624,0.0703979,6465.5
327986,2815025,0.0336579,0.07039,6335.5
328786,2821211,0.0336498,0.0703758,6203.0
329586,2827431,0.0336421,0.0703624,6299.0
330386,2833809,0.0336363,0.0703524,6485.0
331186,2840401,0.0336331,0.0703468,6570.5
331986,2846950,0.0336295,0.0703404,6545.5
332786,2853492,0.0336257,0.0703339,6548.0
333586,2860046,0.0336221,0.0703276,6539.5
334386,2866571,0.0336182,0.0703208,6506.5
335186,2873059,0.0336139,0.0703132,6386.0
335986,2879343,0.0336072,0.0703016,6250.0
336786,2885559,0.0335997,0.0702886,6235.5
337586,2891814,0.0335928,0.0702765,6175.5
338386,2897910,0.033584,0.0702612,6237.5
339186,2904289,0.0335785,0.0702516,6449.5
339986,2910809,0.0335747,0.070245,6573.0
340786,2917435,0.0335722,0.0702405,6583.0
341586,2923975,0.0335686,0.0702344,6465.0
342386,2930365,0.0335634,0.0702252,6412.5
343186,2936800,0.0335587,0.070217,6407.0
343986,2943179,0.0335533,0.0702077,6227.5
344786,2949255,0.0335446,0.0701925,6238.5
345586,2955656,0.0335396,0.0701837,6357.5
346386,2961970,0.0335336,0.0701733,6292.5
347186,2968241,0.0335272,0.0701621,6434.0
347986,2974838,0.0335244,0.0701573,6528.5
348786,2981298,0.0335202,0.0701499,6363.5
349586,2987565,0.0335138,0.0701387,6334.0
350386,2993966,0.0335089,0.0701302,6349.5
351186,3000264,0.0335029,0.0701198,6468.0
351986,3006902,0.0335007,0.0701159,6494.0
352786,3013252,0.0334953,0.0701066,6356.5
353586,3019615,0.0334901,0.0700975,6209.0
354386,3025670,0.0334815,0.0700825,6084.5
355186,3031784,0.0334736,0.0700687,6284.5
