maxerror,ngram,maxlevel,r,ndtw,sdiff,enew
5,drug,5,5,773090,0.70000,0.15000
5,drug,5,10,773401,0.90000,0.05000
5,drug,5,15,773365,0.80000,0.10000
5,drug,5,20,773428,0.80000,0.10000
5,drug,6,0,774913,0.10000,0.60000
5,drug,6,5,775717,0.70000,0.15000
5,drug,6,10,776029,0.90000,0.05000
5,drug,6,15,775989,0.80000,0.10000
5,drug,6,20,776046,0.80000,0.10000
1,know,0,0,1,0.05000,0.95000
1,know,0,5,1,0.05000,0.95000
1,know,0,10,1,0.05000,0.95000
1,know,0,15,1,0.05000,0.95000
1,know,0,20,1,0.05000,0.95000
1,know,1,0,1,0.05000,0.95000
1,know,1,5,1,0.05000,0.95000
1,know,1,10,1,0.05000,0.95000
1,know,1,15,1,0.05000,0.95000
1,know,1,20,1,0.05000,0.95000
1,know,2,0,1,0.05000,0.95000
1,know,2,5,1,0.05000,0.95000
1,know,2,10,1,0.05000,0.95000
1,know,2,15,1,0.05000,0.95000
1,know,2,20,1,0.05000,0.95000
1,know,3,0,36,0.05000,0.80000
1,know,3,5,36,0.05000,0.80000
1,know,3,10,36,0.05000,0.80000
1,know,3,15,36,0.05000,0.80000
1,know,3,20,36,0.05000,0.80000
1,know,4,0,847,0.60000,0.20000
1,know,4,5,847,0.60000,0.20000
1,know,4,10,847,0.60000,0.20000
1,know,4,15,847,0.60000,0.20000
1,know,4,20,847,0.60000,0.20000
1,know,5,0,195210,1.00000,0.00000
1,know,5,5,195202,1.00000,0.00000
1,know,5,10,195267,1.00000,0.00000
1,know,5,15,195306,1.00000,0.00000
1,know,5,20,195276,1.00000,0.00000
1,know,6,0,607262,1.00000,0.00000
1,know,6,5,607757,1.00000,0.00000
1,know,6,10,607873,1.00000,0.00000
1,know,6,15,607836,1.00000,0.00000
1,know,6,20,608104,1.00000,0.00000
2,know,0,0,1,0.05000,0.95000
2,know,0,5,1,0.05000,0.95000
2,know,0,10,1,0.05000,0.95000
2,know,0,15,1,0.05000,0.95000
2,know,0,20,1,0.05000,0.95000
2,know,1,0,1,0.05000,0.95000
2,know,1,5,1,0.05000,0.95000
2,know,1,10,1,0.05000,0.95000
2,know,1,15,1,0.05000,0.95000
2,know,1,20,1,0.05000,0.95000
2,know,2,0,30,0.05000,0.85000
2,know,2,5,30,0.05000,0.85000
2,know,2,10,30,0.05000,0.85000
2,know,2,15,30,0.05000,0.85000
2,know,2,20,30,0.05000,0.85000
2,know,3,0,1105,0.50000,0.30000
2,know,3,5,1105,0.45000,0.30000
2,know,3,10,1105,0.45000,0.30000
2,know,3,15,1105,0.45000,0.30000
2,know,3,20,1105,0.45000,0.30000
2,know,4,0,10282,0.90000,0.05000
2,know,4,5,10282,0.90000,0.05000
2,know,4,10,10281,0.90000,0.05000
2,know,4,15,10283,0.90000,0.05000
2,know,4,20,10281,0.90000,0.05000
2,know,5,0,469612,0.90000,0.05000
2,know,5,5,469748,0.90000,0.05000
2,know,5,10,469812,0.90000,0.05000
2,know,5,15,469831,0.90000,0.05000
2,know,5,20,470007,0.90000,0.05000
2,know,6,0,781265,0.90000,0.05000
2,know,6,5,782062,0.90000,0.05000
2,know,6,10,782217,0.90000,0.05000
2,know,6,15,782235,0.90000,0.05000
2,know,6,20,782460,0.90000,0.05000
5,know,0,0,1,0.00000,1.00000
5,know,0,5,1,0.00000,1.00000
5,know,0,10,1,0.00000,1.00000
5,know,0,15,1,0.00000,1.00000
5,know,0,20,1,0.00000,1.00000
5,know,1,0,1,0.00000,1.00000
5,know,1,5,1,0.00000,1.00000
5,know,1,10,1,0.00000,1.00000
5,know,1,15,1,0.00000,1.00000
5,know,1,20,1,0.00000,1.00000
5,know,2,0,155,0.00000,1.00000
5,know,2,5,155,0.00000,1.00000
5,know,2,10,155,0.00000,1.00000
5,know,2,15,155,0.00000,1.00000
5,know,2,20,155,0.00000,1.00000
5,know,3,0,279426,0.00000,0.95000
5,know,3,5,279528,0.00000,0.90000
5,know,3,10,279505,0.00000,0.90000
5,know,3,15,279545,0.00000,0.90000
5,know,3,20,279607,0.00000,0.90000
5,know,4,0,688526,0.00000,0.85000
5,know,4,5,689239,0.00000,0.80000
5,know,4,10,689396,0.00000,0.80000
5,know,4,15,689411,0.00000,0.80000
5,know,4,20,689519,0.00000,0.80000
5,know,5,0,772833,0.00000,0.85000
5,know,5,5,773685,0.00000,0.80000
5,know,5,10,773836,0.00000,0.80000
5,know,5,15,773848,0.00000,0.80000
5,know,5,20,774095,0.00000,0.80000
5,know,6,0,775263,0.00000,0.85000
5,know,6,5,776119,0.00000,0.80000
5,know,6,10,776272,0.00000,0.80000
5,know,6,15,776279,0.00000,0.80000
5,know,6,20,776511,0.00000,0.80000
1,war,0,0,1,0.05000,0.95000
1,war,0,5,1,0.05000,0.95000
1,war,0,10,1,0.05000,0.95000
1,war,0,15,1,0.05000,0.95000
1,war,0,20,1,0.05000,0.95000
1,war,1,0,1,0.05000,0.95000
1,war,1,5,1,0.05000,0.95000
1,war,1,10,1,0.05000,0.95000
1,war,1,15,1,0.05000,0.95000
1,war,1,20,1,0.05000,0.95000
1,war,2,0,1,0.05000,0.95000
1,war,2,5,1,0.05000,0.95000
1,war,2,10,1,0.05000,0.95000
1,war,2,15,1,0.05000,0.95000
1,war,2,20,1,0.05000,0.95000
1,war,3,0,1,0.05000,0.95000
1,war,3,5,1,0.05000,0.95000
1,war,3,10,1,0.05000,0.95000
1,war,3,15,1,0.05000,0.95000
1,war,3,20,1,0.05000,0.95000
1,war,4,0,121,0.10000,0.75000
1,war,4,5,121,0.15000,0.85000
1,war,4,10,121,0.15000,0.85000
1,war,4,15,121,0.15000,0.85000
1,war,4,20,121,0.15000,0.85000
1,war,5,0,189124,1.00000,0.00000
1,war,5,5,189175,0.90000,0.05000
1,war,5,10,189221,0.90000,0.05000
1,war,5,15,189144,0.90000,0.05000
1,war,5,20,189253,0.90000,0.05000
1,war,6,0,676649,1.00000,0.00000
1,war,6,5,676892,1.00000,0.00000
1,war,6,10,677227,1.00000,0.00000
1,war,6,15,677367,1.00000,0.00000
1,war,6,20,677433,1.00000,0.00000
2,war,0,0,1,0.05000,0.95000
2,war,0,5,1,0.05000,0.95000
2,war,0,10,1,0.05000,0.95000
2,war,0,15,1,0.05000,0.95000
2,war,0,20,1,0.05000,0.95000
2,war,1,0,1,0.05000,0.95000
2,war,1,5,1,0.05000,0.95000
2,war,1,10,1,0.05000,0.95000
2,war,1,15,1,0.05000,0.95000
2,war,1,20,1,0.05000,0.95000
2,war,2,0,1,0.05000,0.95000
2,war,2,5,1,0.05000,0.95000
2,war,2,10,1,0.05000,0.95000
2,war,2,15,1,0.05000,0.95000
2,war,2,20,1,0.05000,0.95000
2,war,3,0,16,0.05000,0.90000
2,war,3,5,16,0.05000,0.95000
2,war,3,10,16,0.05000,0.95000
2,war,3,15,16,0.05000,0.95000
2,war,3,20,16,0.05000,0.95000
2,war,4,0,5162,0.35000,0.35000
2,war,4,5,5161,0.25000,0.50000
2,war,4,10,5161,0.20000,0.45000
2,war,4,15,5162,0.30000,0.35000
2,war,4,20,5162,0.30000,0.40000
2,war,5,0,629651,1.00000,0.00000
2,war,5,5,629797,1.00000,0.00000
2,war,5,10,630024,1.00000,0.00000
2,war,5,15,630137,1.00000,0.00000
2,war,5,20,630164,1.00000,0.00000
2,war,6,0,782588,1.00000,0.00000
2,war,6,5,783016,1.00000,0.00000
2,war,6,10,783391,1.00000,0.00000
2,war,6,15,783559,1.00000,0.00000
2,war,6,20,783724,1.00000,0.00000
5,war,0,0,1,0.05000,0.95000
5,war,0,5,1,0.05000,0.95000
5,war,0,10,1,0.05000,0.95000
5,war,0,15,1,0.05000,0.95000
5,war,0,20,1,0.05000,0.95000
5,war,1,0,1,0.05000,0.95000
5,war,1,5,1,0.05000,0.95000
5,war,1,10,1,0.05000,0.95000
5,war,1,15,1,0.05000,0.95000
5,war,1,20,1,0.05000,0.95000
5,war,2,0,2371,0.05000,0.90000
5,war,2,5,2371,0.05000,0.95000
5,war,2,10,2371,0.05000,0.95000
5,war,2,15,2371,0.05000,0.95000
5,war,2,20,2371,0.05000,0.95000
5,war,3,0,277653,0.05000,0.75000
5,war,3,5,277633,0.05000,0.80000
5,war,3,10,277660,0.05000,0.70000
5,war,3,15,277721,0.05000,0.70000
5,war,3,20,277719,0.05000,0.75000
5,war,4,0,678817,0.60000,0.20000
5,war,4,5,678972,0.75000,0.20000
5,war,4,10,679216,0.80000,0.15000
5,war,4,15,679333,0.60000,0.20000
5,war,4,20,679490,0.55000,0.25000
5,war,5,0,772319,0.70000,0.15000
5,war,5,5,772796,0.75000,0.20000
5,war,5,10,773182,0.80000,0.15000
5,war,5,15,773347,0.60000,0.20000
5,war,5,20,773511,0.55000,0.25000
5,war,6,0,775123,0.70000,0.15000
5,war,6,5,775610,0.75000,0.20000
5,war,6,10,776001,0.80000,0.15000
5,war,6,15,776162,0.60000,0.20000
5,war,6,20,776318,0.55000,0.25000
