"n","nnodes","pnodes","rate","delta"
208800,2583686,0.0485254,0.0963065,9448.5
209600,2593154,0.0485173,0.0962924,9267.0
210400,2602220,0.0485018,0.0962654,9186.5
211200,2611527,0.0484909,0.0962464,9329.5
212000,2620879,0.0484809,0.096229,9393.5
212800,2630314,0.0484725,0.0962143,9312.5
213600,2639504,0.0484597,0.096192,9253.0
214400,2648820,0.0484493,0.0961738,9263.5
215200,2658031,0.048437,0.0961525,9228.5
216000,2667277,0.0484255,0.0961324,9265.5
216800,2676562,0.0484148,0.0961136,9090.5
217600,2685458,0.0483971,0.0960828,9100.5
218400,2694763,0.0483869,0.096065,9088.0
219200,2703634,0.048369,0.0960339,9061.5
220000,2712886,0.048358,0.0960147,9147.0
220800,2721928,0.0483434,0.0959893,9012.5
221600,2730911,0.0483279,0.0959621,9108.0
222400,2740144,0.0483168,0.0959429,9061.0
223200,2749033,0.0482998,0.0959133,9098.0
224000,2758340,0.0482903,0.0958966,9294.5
224800,2767622,0.0482803,0.0958793,9371.0
225600,2777082,0.0482736,0.0958675,9408.5
226400,2786439,0.0482651,0.0958527,9330.5
227200,2795743,0.0482557,0.0958364,9122.5
227986,2804684,0.0482431,0.0958145,8888.5
228786,2813520,0.0482259,0.0957844,9150.0
229586,2822984,0.0482195,0.0957733,9372.0
230386,2832264,0.04821,0.0957568,9133.0
231186,2841250,0.0481956,0.0957317,8944.0
231986,2850152,0.0481799,0.0957043,9294.5
232786,2859839,0.0481775,0.0957001,9630.0
233586,2869412,0.0481732,0.0956926,9337.0
234386,2878513,0.0481611,0.0956714,9033.5
235186,2887479,0.0481468,0.0956465,9119.5
235986,2896752,0.0481377,0.0956306,9173.5
236786,2905826,0.0481253,0.095609,9021.0
237586,2914794,0.0481113,0.0955846,8943.0
238386,2923712,0.0480965,0.0955589,9024.0
239186,2932842,0.0480853,0.0955394,9150.0
239986,2942012,0.0480749,0.0955212,9156.5
240786,2951155,0.0480641,0.0955023,9223.0
241586,2960458,0.0480559,0.0954881,9411.0
242386,2969977,0.0480513,0.0954801,9360.0
243186,2979178,0.0480416,0.0954632,9183.5
243986,2988344,0.0480314,0.0954454,9141.0
244786,2997460,0.0480205,0.0954264,9012.0
245586,3006368,0.0480063,0.0954016,9098.0
246386,3015656,0.0479983,0.0953876,9347.5
247186,3025063,0.0479922,0.095377,9368.0
247986,3034392,0.0479849,0.0953643,9093.0
248786,3043249,0.0479702,0.0953386,9084.5
249586,3052561,0.0479627,0.0953257,9215.0
250386,3061679,0.0479523,0.0953075,9239.0
251186,3071039,0.0479457,0.095296,9220.0
251986,3080119,0.0479348,0.095277,8934.0
252786,3088907,0.0479194,0.0952502,9095.5
253586,3098310,0.0479137,0.0952401,9421.0
254386,3107749,0.0479085,0.0952311,9373.5
255186,3117057,0.0479013,0.0952187,9194.5
255986,3126138,0.0478908,0.0952002,9274.5
256786,3135606,0.0478862,0.0951922,9187.0
257586,3144512,0.047873,0.0951693,9098.5
258386,3153803,0.0478658,0.0951567,9200.5
259186,3162913,0.0478559,0.0951394,8982.5
259986,3171768,0.0478422,0.0951156,9001.5
260786,3180916,0.047833,0.0950995,9073.0
261586,3189914,0.0478216,0.0950797,9086.5
262386,3199089,0.0478129,0.0950646,9088.5
263186,3208091,0.0478017,0.095045,9206.5
263986,3217502,0.0477967,0.0950362,9100.0
264786,3226291,0.0477824,0.0950114,9189.5
265586,3235881,0.0477801,0.0950073,9343.0
266386,3244977,0.0477705,0.0949906,9244.0
267186,3254369,0.0477653,0.0949816,9190.0
267986,3263357,0.0477543,0.0949623,9050.0
268786,3272469,0.0477451,0.0949463,9085.0
269586,3281527,0.0477352,0.094929,9016.0
270386,3290501,0.0477241,0.0949097,9031.5
271186,3299590,0.0477147,0.0948934,9109.5
271986,3308720,0.047706,0.0948782,9179.5
272786,3317949,0.0476988,0.0948656,9237.0
273586,3327194,0.0476918,0.0948535,9114.0
274386,3336177,0.0476812,0.0948349,9154.0
275186,3345502,0.0476754,0.0948249,9275.0
275986,3354727,0.0476683,0.0948125,9351.5
276786,3364205,0.0476648,0.0948064,9401.5
277586,3373530,0.0476592,0.0947966,9370.5
278386,3382946,0.0476549,0.094789,9127.5
279186,3391785,0.0476425,0.0947674,9136.0
279986,3401218,0.0476385,0.0947605,9326.0
