"x","s0_mean","s0_std","s1_mean","s1_std","s2_mean","s2_std"
44.0,0.01067870583479458,0.005496341796069919,0.015136815026769416,0.007821473474613495,0.00711176449837827,0.00392764488435729
45.0,0.01053234186046327,0.0054120681782263294,0.01458867964059722,0.007567535479866567,0.00634903818386126,0.003526578809209172
46.0,0.010655332000866699,0.005468353466965635,0.014360906620794206,0.00744915419405908,0.005782242568676691,0.0032093124655792906
47.0,0.010790960429026854,0.005533610378170205,0.01414885090148308,0.007336665353864624,0.005244222349418673,0.0029107431855819516
48.0,0.011044484936140906,0.005667210633861144,0.014050957255382166,0.007269610706158184,0.004755012536746358,0.002631448170608653
49.0,0.01099216496174251,0.005635025642318406,0.01361951731493397,0.007076462596286488,0.004241088745153736,0.0023648567295104592
50.0,0.011134010466445238,0.005715661548348247,0.013408530834370049,0.0069863090002399335,0.003874826798888465,0.002153923829850047
51.0,0.01117020010097473,0.005729024017228481,0.013050159296524236,0.0067984097827040865,0.0034005454177464755,0.0019045363699411535
52.0,0.011157135665815643,0.005739687675049272,0.012654647931918755,0.006615454968963734,0.003058204248408443,0.0016974158650317512
53.0,0.011480397435520486,0.005899821778121604,0.012582558589907155,0.0065521160523415905,0.0028023604869410403,0.0015495820614789115
54.0,0.011389566005835005,0.0058517178903222675,0.012107585340062814,0.006326195543454741,0.0024273789352625237,0.0013468743469831485
55.0,0.011423023846031315,0.005861818294630412,0.011758229608812162,0.006152833409926926,0.0021659979477656388,0.0012015778834718151
56.0,0.011375422957552842,0.0058418219727590145,0.01133397340890685,0.005946740863247566,0.0019098872283592932,0.0010591268937385333
57.0,0.011417015104903077,0.005876826863337492,0.011009610198183426,0.005791992604176969,0.001712542947573199,0.0009475305694964853
58.0,0.011462933212076087,0.005896857882099544,0.010681180636964882,0.005622851810502196,0.0015237766945569169,0.0008426730492279283
59.0,0.011559185360106066,0.00594316177273608,0.010392891162773898,0.005474089144764568,0.001376942402840788,0.0007640595620049315
60.0,0.011541575743235048,0.005925725495470581,0.010018730472281301,0.00526777619981115,0.0012126943236134785,0.0006762173756672511
61.0,0.011535305220005785,0.005920836142581092,0.009662743180325947,0.005084998663567689,0.0010838460729930505,0.000611427833849906
62.0,0.011580345326223032,0.005953178035966427,0.009364883221115892,0.004942509594481678,0.0009876709218413948,0.0005688217519902537
63.0,0.01156738866201487,0.005932241300812374,0.009001804133704593,0.004741517454119349,0.000889717110220037,0.0005191962385734459
64.0,0.011653028782301894,0.0059759600075862465,0.008747150406591506,0.004603118530978796,0.0008281604757866929,0.0005036949235974264
65.0,0.011582335201239373,0.005970323568193304,0.008341620456293098,0.004426864610700708,0.0007481652461675773,0.0004693582420883962
66.0,0.011550988408821343,0.005952160002734113,0.008017157428137538,0.0042526838004389375,0.0007070163125512312,0.00046626060859464985
67.0,0.011557254762185526,0.005953730138941887,0.007709325500106182,0.004096234086927606,0.0006513802690130633,0.00044128176719425373
68.0,0.011524212195623251,0.005943775262166532,0.007376116776587875,0.003928494268217931,0.0006089363872645047,0.0004309785716440997
69.0,0.011415995828215163,0.0058861590208442085,0.007015490056299252,0.00373471239089491,0.0005812932288973203,0.0004303054882811938
70.0,0.011366399132943085,0.005848942204987195,0.00670723578606673,0.003563145623390734,0.0005619946165352331,0.00043075703859005095
71.0,0.011321230507865904,0.005825045331761854,0.006402669886429747,0.0034040088057711785,0.000536152047374683,0.0004240435703481709
72.0,0.011318617416306208,0.005833879937413731,0.006129145647159398,0.0032713574497417494,0.0005207123934678123,0.00042242542632159254
73.0,0.011302692705764995,0.005814966886673326,0.005874051391028296,0.0031248674561979114,0.0005085582215299337,0.0004226699382751243
74.0,0.011154114622606553,0.00575760388481865,0.005546438366432566,0.0029634349173894045,0.0004990348264418497,0.00042261804256673625
75.0,0.011092829558598513,0.005716718677549361,0.005266965295041742,0.002813661057060808,0.0004881557840000731,0.00041916851755815815
76.0,0.010981451791080354,0.005668523226875258,0.004985824421108228,0.002667842459890743,0.0004798861315987668,0.0004170038890450514
77.0,0.010906027258573042,0.0056213244020330835,0.004729819266468422,0.0025292693470531113,0.0004740611827430658,0.0004148521140877574
78.0,0.010871641705728347,0.0056023558852074384,0.0045148548128782166,0.0024108632644386785,0.0004697204627611048,0.0004145516228937953
79.0,0.010705099203276749,0.0055286826855662895,0.00424242657264761,0.002271349708155072,0.0004648382929687294,0.00041230948496305206
80.0,0.010608677597913762,0.005503878914165268,0.004006393784125436,0.0021567835571743178,0.0004599338833560862,0.0004091013938234872
